Disease,Suitable_Doctor
AIDS,Infectious Disease Specialist
Acne,Dermatologist
Alcoholic Hepatitis,Gastroenterologist
Allergy,Allergist/Immunologist
Arthritis,Rheumatologist
Bronchial Asthma,Pulmonologist
Cervical Spondylosis,Orthopedic Specialist
Chickenpox,Infectious Disease Specialist
Chronic Cholestasis,Gastroenterologist
Common Cold,General Practitioner
Dengue,Infectious Disease Specialist
Diabetes,Endocrinologist
Dimorphic Hemorrhoids (Piles),Proctologist
Drug Reaction,Allergist/Dermatologist
Fungal Infection,Dermatologist
GERD,Gastroenterologist
Gastroenteritis,Gastroenterologist
Heart Attack,Cardiologist
Hepatitis A,Hepatologist
Hepatitis B,Hepatologist
Hepatitis C,Hepatologist
Hepatitis D,Hepatologist
Hepatitis E,Hepatologist
Hypertension,Cardiologist
Hyperthyroidism,Endocrinologist
Hypoglycemia,Endocrinologist
Hypothyroidism,Endocrinologist
Impetigo,Dermatologist
Jaundice,Hepatologist
Malaria,Infectious Disease Specialist
Migraine,Neurologist
Osteoarthritis,Orthopedic Specialist
Paralysis (Brain Hemorrhage),Neurologist
Peptic Ulcer Disease,Gastroenterologist
Pneumonia,Pulmonologist
Psoriasis,Dermatologist
Tuberculosis,Infectious Disease Specialist
Typhoid,Infectious Disease Specialist
Urinary Tract Infection,Urologist
Varicose Veins,Vascular Surgeon
Vertigo,Neurologist
